prompt_type,metric,n,mean,std,median,min,max,ci95_low,ci95_high
intersectional,toxicity,5002.0,0.0011530063008500942,0.0011889422740075245,0.0008738300821277999,0.0004870827833656,0.0284995380789041,0.001120049720754376,0.0011859628809458124
intersectional,severe_toxicity,5002.0,0.00011210620029927387,1.227280385677083e-05,0.00010999722871919999,8.885465649655089e-05,0.0003856251423712,0.00011176600746388803,0.00011244639313465971
intersectional,identity_attack,5002.0,0.00015662227279890484,0.00011095588687152142,0.00013951130677009998,0.0001275764516321,0.0050887470133602,0.00015354665958141266,0.000159697886016397
intersectional,insult,5002.0,0.00019536668559644354,7.150927796598542e-05,0.0001802114202291,0.000167064848938,0.0023124734871089,0.00019338450252633592,0.00019734886866655115
intersectional,threat,5002.0,0.00011833369683453775,1.8283176811558417e-05,0.00011495107901280001,8.893434278434142e-05,0.0005281717167235,0.00011782690100923388,0.00011884049265984163
intersectional,obscene,5002.0,0.0002188127707683069,0.00012605955451849038,0.0001985411945497,0.0001480538776377,0.0075071845203638,0.00021531849531343912,0.00022230704622317469
intersectional,toxicity_amplification_factor,4998.0,0.00020751242678020718,0.0011562151083242488,3.365712473169999e-05,-0.0097714166040532,0.0205988949164748,0.00017545019040956676,0.0002395746631508476
intersectional,intersectional_gap,4998.0,0.00010295102815017697,0.001219328290774965,5.71024429519998e-06,-0.0393836172297597,0.0262103207060136,6.913864186429196e-05,0.000136763414436062
intersectional,output_word_count,5002.0,298.8672530987605,78.9166066493644,328.0,21.0,401.0,296.6797444830936,301.0547617144274
neutral,toxicity,5002.0,0.0009455624626910677,0.0006737052656114694,0.0008201028394977999,0.0004813933628611,0.0127285122871398,0.0009268878625591432,0.0009642370628229922
neutral,severe_toxicity,5002.0,0.00011230443573692141,8.824852829448509e-06,0.00011080272815880001,8.819402137305588e-05,0.0001551543391542,0.00011205981749475366,0.00011254905397908917
neutral,identity_attack,5002.0,0.00013899165087189068,9.329701444077439e-06,0.00013672218483405,0.000129037129227,0.0002925700973719,0.00013873303860817288,0.0001392502631356085
neutral,insult,5002.0,0.00018333099895490916,2.7261981821866608e-05,0.00017829153512135,0.0001674565573921,0.0006976978620514,0.00018257531744948841,0.0001840866804603299
neutral,threat,5002.0,0.00011947317165992507,1.2643403830486333e-05,0.00011718035239025,0.0001016490277834,0.0003856056719087,0.00011912270607372176,0.00011982363724612838
neutral,obscene,5002.0,0.00020708408063993298,4.270669232392395e-05,0.00019744945893755,0.0001563458499731,0.0008551502833142,0.00020590028344727996,0.000208267877832586
neutral,toxicity_amplification_factor,4998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neutral,intersectional_gap,,,,,,,,
neutral,output_word_count,5002.0,288.7546981207517,79.73649366027193,322.0,13.0,400.0,286.54446285759724,290.96493338390616
single_identity,toxicity,9996.0,0.0010501629591048037,0.0011505678216788848,0.000850434997119,0.0004802482726518,0.0624510869383811,0.001027605000989862,0.0010727209172197453
single_identity,severe_toxicity,9996.0,0.00011204661547615107,1.0972871105521325e-05,0.00011012384493365,8.877691288944334e-05,0.0004627835587598,0.00011183148207668069,0.00011226174887562146
single_identity,identity_attack,9996.0,0.0001459923577883516,5.068643294709559e-05,0.00013772579404755,0.0001287876075366,0.0027796202339231,0.00014499860287023824,0.00014698611270646497
single_identity,insult,9996.0,0.00018873987716995063,5.6079893956625674e-05,0.0001791317772585,0.0001672092330409,0.0027789261657744,0.00018764037840496867,0.0001898393759349326
single_identity,threat,9996.0,0.00011875561346304574,1.6302055165634113e-05,0.00011583160812725,9.329393651569262e-05,0.0008561636786907,0.00011843599642640966,0.00011907523049968182
single_identity,obscene,9996.0,0.0002159785040612143,0.0002172170123338388,0.00019791595696000002,0.0001500425714766,0.0166873019188642,0.0002117197614006299,0.00022023724672179867
single_identity,toxicity_amplification_factor,9996.0,0.0001045613986300306,0.0011396432948135012,1.4550576452149958e-05,-0.0103218626463786,0.0605776211014017,8.221762608052155e-05,0.00012690517117953964
single_identity,intersectional_gap,,,,,,,,
single_identity,output_word_count,9996.0,295.1125450180072,79.27349230339523,325.0,6.0,403.0,293.558314067592,296.6667759684224
